county,state,"Rates of Persons Living with HIV, 2020"
"Autauga","Alabama",243
"Baldwin","Alabama",176
"Barbour","Alabama",457
"Bibb","Alabama",216
"Blount","Alabama",76
"Bullock","Alabama",638
"Butler","Alabama",340
"Calhoun","Alabama",255
"Chambers","Alabama",393
"Cherokee","Alabama",140
"Chilton","Alabama",162
"Choctaw","Alabama",262
"Clarke","Alabama",177
"Clay","Alabama",179
"Cleburne","Alabama",112
"Coffee","Alabama",176
"Colbert","Alabama",138
"Conecuh","Alabama",316
"Coosa","Alabama",223
"Covington","Alabama",154
"Crenshaw","Alabama",226
"Cullman","Alabama",97
"Dale","Alabama",316
"Dallas","Alabama",457
"DeKalb","Alabama",114
"Elmore","Alabama",298
"Escambia","Alabama",256
"Etowah","Alabama",220
"Fayette","Alabama",101
"Franklin","Alabama",85
"Geneva","Alabama",192
"Greene","Alabama",400
"Hale","Alabama",542
"Henry","Alabama",298
"Houston","Alabama",414
"Jackson","Alabama",93
"Jefferson","Alabama",683
"Lamar","Alabama",180
"Lauderdale","Alabama",121
"Lawrence","Alabama",83
"Lee","Alabama",236
"Limestone","Alabama",137
"Lowndes","Alabama",593
"Macon","Alabama",671
"Madison","Alabama",260
"Marengo","Alabama",177
"Marion","Alabama",150
"Marshall","Alabama",156
"Mobile","Alabama",564
"Monroe","Alabama",194
"Montgomery","Alabama",823
"Morgan","Alabama",144
"Perry","Alabama",282
"Pickens","Alabama",322
"Pike","Alabama",401
"Randolph","Alabama",82
"Russell","Alabama",419
"Shelby","Alabama",182
"St. Clair","Alabama",148
"Sumter","Alabama",400
"Talladega","Alabama",265
"Tallapoosa","Alabama",222
"Tuscaloosa","Alabama",309
"Walker","Alabama",153
"Washington","Alabama",103
"Wilcox","Alabama",245
"Winston","Alabama",54
"Aleutians East","Alaska",-4
"Aleutians West","Alaska",-4
"Anchorage","Alaska",-4
"Bethel","Alaska",-4
"Bristol Bay","Alaska",-4
"Chugach","Alaska",-4
"Copper River","Alaska",-4
"Denali","Alaska",-4
"Dillingham","Alaska",-4
"Fairbanks North Star","Alaska",-4
"Haines","Alaska",-4
"Hoonah-Angoon","Alaska",-4
"Juneau","Alaska",-4
"Kenai Peninsula","Alaska",-4
"Ketchikan Gateway","Alaska",-4
"Kodiak Island","Alaska",-4
"Kusilvak","Alaska",-4
"Lake and Peninsula","Alaska",-4
"Matanuska-Susitna","Alaska",-4
"Nome","Alaska",-4
"North Slope","Alaska",-4
"Northwest Arctic","Alaska",-4
"Petersburg","Alaska",-4
"Prince of Wales-Hyder","Alaska",-4
"Sitka","Alaska",-4
"Skagway","Alaska",-4
"Southeast Fairbanks","Alaska",-4
"Wrangell","Alaska",-4
"Yakutat","Alaska",-4
"Yukon-Koyukuk","Alaska",-4
"Apache","Arizona",212
"Cochise","Arizona",200
"Coconino","Arizona",143
"Gila","Arizona",116
"Graham","Arizona",107
"Greenlee","Arizona",67
"La Paz","Arizona",121
"Maricopa","Arizona",316
"Mohave","Arizona",145
"Navajo","Arizona",139
"Pima","Arizona",299
"Pinal","Arizona",261
"Santa Cruz","Arizona",179
"Yavapai","Arizona",138
"Yuma","Arizona",157
"Arkansas","Arkansas",249
"Ashley","Arkansas",135
"Baxter","Arkansas",108
"Benton","Arkansas",121
"Boone","Arkansas",88
"Bradley","Arkansas",125
"Calhoun","Arkansas",157
"Carroll","Arkansas",221
"Chicot","Arkansas",393
"Clark","Arkansas",152
"Clay","Arkansas",74
"Cleburne","Arkansas",101
"Cleveland","Arkansas",147
"Columbia","Arkansas",177
"Conway","Arkansas",176
"Craighead","Arkansas",182
"Crawford","Arkansas",106
"Crittenden","Arkansas",573
"Cross","Arkansas",261
"Dallas","Arkansas",-1
"Desha","Arkansas",230
"Drew","Arkansas",165
"Faulkner","Arkansas",173
"Franklin","Arkansas",66
"Fulton","Arkansas",94
"Garland","Arkansas",256
"Grant","Arkansas",109
"Greene","Arkansas",114
"Hempstead","Arkansas",161
"Hot Spring","Arkansas",231
"Howard","Arkansas",159
"Independence","Arkansas",144
"Izard","Arkansas",117
"Jackson","Arkansas",225
"Jefferson","Arkansas",513
"Johnson","Arkansas",55
"Lafayette","Arkansas",174
"Lawrence","Arkansas",116
"Lee","Arkansas",539
"Lincoln","Arkansas",401
"Little River","Arkansas",166
"Logan","Arkansas",77
"Lonoke","Arkansas",115
"Madison","Arkansas",86
"Marion","Arkansas",144
"Miller","Arkansas",343
"Mississippi","Arkansas",245
"Monroe","Arkansas",326
"Montgomery","Arkansas",64
"Nevada","Arkansas",190
"Newton","Arkansas",91
"Ouachita","Arkansas",261
"Perry","Arkansas",80
"Phillips","Arkansas",335
"Pike","Arkansas",89
"Poinsett","Arkansas",98
"Polk","Arkansas",96
"Pope","Arkansas",100
"Prairie","Arkansas",176
"Pulaski","Arkansas",614
"Randolph","Arkansas",93
"Saline","Arkansas",132
"Scott","Arkansas",94
"Searcy","Arkansas",-1
"Sebastian","Arkansas",193
"Sevier","Arkansas",120
"Sharp","Arkansas",87
"St. Francis","Arkansas",397
"Stone","Arkansas",82
"Union","Arkansas",337
"Van Buren","Arkansas",63
"Washington","Arkansas",185
"White","Arkansas",123
"Woodruff","Arkansas",246
"Yell","Arkansas",142
"Alameda","California",425
"Alpine","California",-1
"Amador","California",514
"Butte","California",137
"Calaveras","California",122
"Colusa","California",103
"Contra Costa","California",278
"Del Norte","California",160
"El Dorado","California",125
"Fresno","California",267
"Glenn","California",101
"Humboldt","California",185
"Imperial","California",259
"Inyo","California",156
"Kern","California",269
"Kings","California",154
"Lake","California",259
"Lassen","California",88
"Los Angeles","California",595
"Madera","California",166
"Marin","California",353
"Mariposa","California",125
"Mendocino","California",237
"Merced","California",157
"Modoc","California",-1
"Mono","California",63
"Monterey","California",212
"Napa","California",244
"Nevada","California",143
"Orange","California",264
"Placer","California",109
"Plumas","California",126
"Riverside","California",474
"Sacramento","California",348
"San Benito","California",107
"San Bernardino","California",272
"San Diego","California",473
"San Francisco","California",1515
"San Joaquin","California",230
"San Luis Obispo","California",156
"San Mateo","California",257
"Santa Barbara","California",158
"Santa Clara","California",213
"Santa Cruz","California",215
"Shasta","California",135
"Sierra","California",-1
"Siskiyou","California",170
"Solano","California",342
"Sonoma","California",339
"Stanislaus","California",185
"Sutter","California",151
"Tehama","California",88
"Trinity","California",149
"Tulare","California",140
"Tuolumne","California",123
"Ventura","California",160
"Yolo","California",165
"Yuba","California",158
"Adams","Colorado",278
"Alamosa","Colorado",172
"Arapahoe","Colorado",293
"Archuleta","Colorado",113
"Baca","Colorado",-1
"Bent","Colorado",-1
"Boulder","Colorado",167
"Broomfield","Colorado",24
"Chaffee","Colorado",113
"Cheyenne","Colorado",-1
"Clear Creek","Colorado",209
"Conejos","Colorado",-1
"Costilla","Colorado",-1
"Crowley","Colorado",439
"Custer","Colorado",0
"Delta","Colorado",89
"Denver","Colorado",866
"Dolores","Colorado",-1
"Douglas","Colorado",92
"Eagle","Colorado",154
"El Paso","Colorado",163
"Elbert","Colorado",119
"Fremont","Colorado",353
"Garfield","Colorado",161
"Gilpin","Colorado",178
"Grand","Colorado",135
"Gunnison","Colorado",45
"Hinsdale","Colorado",-1
"Huerfano","Colorado",245
