county,state
Maricopa,Arizona
Alameda,California
Los Angeles,California
Orange,California
Riverside,California
Sacramento,California
San Bernadino,California
San Diego,California
San Fransisco,California
Broward,Florida
Duval,Florida
Hillsborough,Florida
Miami-Dade,Florida
Orange,Florida
Palm Beach,Florida
Pinellas,Florida
Cobb,Georgia
DeKalb,Georgia
Fulton,Georgia
Gwinnett,Georgia
Cook,Illinois
Marion,Indiana
East Baton Rouge,Louisiana
Orleans,Louisiana
Baltimore,Maryland
Montgomery,Maryland
Prince George’s,Maryland
Suffolk,Massachusetts
Wayne,Michigan
Clark,Nevada
Essex,New Jersey
Hudson,New Jersey
Bronx,New York
Kings,New York
New York,New York
Queens,New York
Mecklenburg,North Carolina
Cuyahoga,Ohio
Franklin,Ohio
Hamilton,Ohio
Philadelphia,Pennsylvania
Shelby,Tennessee
Bexar,Texas
Dallas,Texas
Harris,Texas
Tarrant,Texas
Travis,Texas
King,Washington
District of Columbia,"Washington, D.C."
San Juan,Puerto Rico
,Alabama
,Arkansas
,Kentucky
,Mississippi
,Missouri
,Oklahoma
,South Carolina
,
,
,
,
,
,
,
,
,
,
,
,
